id,sentence,emotion
956,"She resented being overlooked for the promotion, her bitterness growing each day.",anger
957,My mom was stunned by the gift she received this morning.,surprise
958,He was amazed by the show put up by his favourite band.,happiness
959,I'm scared that someone is looking inside my window. ,fear
960,"I went to Zakopane, it was great!",happiness
961,"Sarah's eyes widened in fear at the shadowy figure in the alley, prompting her to quicken her pace.",fear
962, It would definitely be difficult if there were to be a war.,sadness
963,I love taking a walk during the evenning!,happiness
964,I was very grateful for the opportunity to meet the president.,happiness
965,"The news of the unexpected event shocked the community, leaving many in disbelief.",surprise
966,Finding her car scratched left her seething with frustration.,anger
967,?he bad smell repels me.,disgust
968,A gasp escaped her lips as she stumbled upon the unexpected treasure hidden in the attic.,surprise
969,I never saw that plot twist coming; it completely shocked me.,surprise
970,I feel so lonely when my friends do not have time to meet.,sadness
971,I jump in fear when I heard the unexpected loud explosion in my neighborhood.,fear
972,She spent the night fretting about the impending storm.,fear
973,I dance when I'm at the beach with my friends.,happiness
974,I didn't expect to pass my year,surprise
975,"Fortunately, I passed my exam.",happiness
976,What happened was so unexpected!,surprise
977,I have always been scared of rats.,fear
978,I am happy.,happiness
979,My cat died yesterday and it hurts me a lot.,sadness
980,My cousin is afraid of the dark.,fear
981,It's infuriating when people don't respect personal boundaries.,anger
982,The possibility of failing a test keeps him up at night.,fear
983,Losing my 4G signal when I need it the most makes me furious.,anger
984,I get a sick feeling when I step into water while wearing socks.,disgust
985,Mom raised her voice in anger when she found out her son had skipped school.,anger
986,Mona was truly appalled when I noticed a stranger coughing openly without covering their mouth,disgust
987,The milk has gone bad.,disgust
988,Ice cream on a hot day is pure bliss.,happiness
989,"The rainy day matches my mood, i am depressed.",sadness
990,The slimy texture of the overcooked vegetables made her stomach turn in revulsion.,disgust
991,Your constant interruptions are making me quite annoyed.,anger
992,The server not working is really getting on my nerves,anger
993,I feel overwhelmed with sadness,sadness
994,Hearing the howl of a wolf in the distance while camping made my heart race with fright.,fear
995,I hate it when I have to do software updates.,anger
996,It makes my blood boil when I am being interrupted.,anger
997,I'm hurt when people tell me smoking is bad.,sadness
998,I feel incredibly disgusted when someone leaves rotten food in a shared fridge,disgust
999,It is sad when there is nothing to eat.,sadness
1000,"The sight of the spoiled food repulsed her, and she quickly threw it away.",anger
1001,I was embarrassed when I tripped while walking.,sadness
1002,There's still a bit of ice cream left in the fridge.,happiness
1003,Tension simmered between the two colleagues.,anger
1004,Winning the lottery was such an unexpected turn of events that it took him a moment to register the reality.,surprise
1005,I am absolutely terrified by clowns. ,fear
1006,The sight and smell of spoiled food turn my stomach.,disgust
1007,Rainy days really crush my motivation and drive.,sadness
1008,He laughed so hard that tears started streaming down his cheeks.,happiness
1009,The feeling of being watched make me scared every time I go out at night.,fear
1010,Hearing that song always brings a feeling of nostalgia and sadness.,sadness
1011,It is great that I succeeded last block.,happiness
1012,Watching her child take their first steps brought tears of happiness to her eyes,happiness
1013,I feel like I'm being followed.,fear
1014,I am immensely grieving the death of my best friend.,sadness
1015,I wasn't expecting those prices.,surprise
1016,Losing my pet was a real source of sorrow for me.,sadness
1017,I don't even know what to say.,surprise
1018,The food I had yesterday was very gross.,disgust
1019,The twist at the end of the movie left everyone speechless.,surprise
1020,I like my new shoes they look good on me.,happiness
1021,It is a great day for a walk.,happiness
1022,I would panic if someone would whisper my name at night. ,fear
1023,I get scared when I have to cook in my girlfriend's kitchen!,fear
1024,seeing the sun set behind the mountains is always a joyfull site at the end of the day.,happiness
1025,I can't do it anymore.,anger
1026,"Ew, he hasn't showered in days.",disgust
1027,Rose felt the worst heartache of her life after the breakup.,sadness
1028,Children laugh and play in the nearby park and their joy could be heard all around.,happiness
1029,"The sudden announcement of a snow day brought a joyous surprise, changing our routine into an adventure.",surprise
1030,My father was in a good mood today.,happiness
1031,"Whenever it rains, my mood goes down.",sadness
1032,I was grossed out by his lack of hygiene.,disgust
1033,Being woken up at 3am by extremely strong bass of neighbour,anger
1034,The thought of public speaking fills me with paralyzing dread.,fear
1035,Computers working however it wants instead of how I want,anger
1036,The cause of the ancient civilization's disappearance continues to baffle archaeologists.,surprise
1037,Missing a flight fills me with rage.,anger
1038,Great heights make me feel jittery.,fear
1039,I get angry when I spill coffee on my clothes,anger
1040,My trash started decomposing,disgust
1041,Why does he always have to annoy me?,anger
1042,"The sudden bark of a dog in silence makes me jump out of my skin, adrenaline surging.",fear
1043,I feel nauseous when I think about raw food.,disgust
1044,I can't stand it when someone lies to me directly.,anger
1045,"His voice rose, sharp and cutting, each word slicing through the air.",anger
1046,Shivers ran down her spine as she heard footsteps approaching in the darkness.,fear
1047,The thought of losing loved ones fills me with dread.,sadness
1048,Opening the refrigerator and finding expired milk disgusted me.,disgust
1049,They feel grossed out when they see someone sneeze without covering their mouth.,disgust
1050,The gruesome halls of this forsaken hospital horrify me.,fear
1051,Watching the news is upsetting to me.,sadness
1052,People being increadibly stupid,anger
1053,Having a conversation with somebody that can not admit that they are wrong can make the conversation heated.,anger
1054,Watching a horror movie alone at night always makes me feel terrified.,fear
1055,I was shaken by the sudden change in her mood.,surprise
1056,My dogs get all jumpy and excited when I get home from work!,happiness
1057,"Thunderstorms always scare me, especially the loud thunder.",fear
1058,He feels annoyed when people ask him atupid questions.,anger
1059,I have no words to describe how excited I am for the future of AI.,happiness
1060,"It works now, let's go!",happiness
1061,I was taken aback by when the band announced their comeback.,surprise
1062,The kid always throws a tantrum when it's her bedtime.,anger
1063,My sister loves to sing,happiness
1064,"Watching a suspenseful movie, the anticipation of the unknown conjured an irrational fear, gripping my heart.",fear
1065,Seeing people cry makes me want to cry.,sadness
1066,"The idea of getting lost in the vast, empty desert terrified her more than anything.",fear
1067,I love it when Bitcoin pumps!,happiness
1068,I�ve been on cloud nine ever since I landed my dream job.,happiness
1069, What a coincidence to wear the same colour shirt!,surprise
1070,"Seeing an old picture reminded me of happier times, making me feel sad.",sadness
1071,It disgusted me to see my ex again.,disgust
1072,"My brother beats his wife on daily basis, my father always desperately yells at him while beating him up in return.",anger
1073,"His voice cracked as he tried to speak, the weight of his grief too heavy to bear.",sadness
1074,The sunny weather always lifts my spirit.,happiness
1075,My mom gets worried for my sister's career choices. ,fear
1076,I miss my family so much when I am away from them.,sadness
1077,"I am so sorry, that was my fault.",sadness
1078,The view from the mountaintop left me speechless.,surprise
1079,The sight of a rainbow after a heavy downpour filled her heart with pure joy. ,happiness
1080,I'm surprised when they give me a new car.,surprise
1081,The mere thought of public speaking filled her with loathing.,anger
1082,"I just ate some goulash, it was so good.",happiness
1083,Someone being late makes me angry.,anger
1084,We are meeting each other after such a long time.,happiness
1085,After the accident he was in shook for a couple of days.,surprise
1086,The idea of putting pineapple on pizza made him vomit.,disgust
1087,"Eyes wide with fear, she scanned the room for any sign of movement.",fear
1088,It annoys me so much that he doesn't want to answer my message.,anger
1089,I had a goodnights sleep,happiness
1090,I didn't expect flowers from you.,surprise
1091,She fumed silently in the corner after the argument.,anger
1092,The passing of their grandmother has left the family in great sorrow.,sadness
1093,I feel down when it rains.,sadness
1094,Why can't i be happy?,sadness
1095,How did you manage to do all this by yourself?,surprise
1096,"The thought of speaking in front of a large audience filled me with a paralyzing fear, doubting my own words.",fear
1097,I'm worried about my grandma.,sadness
1098,No one accepted my invitation.,sadness
1099,My friend was livid when I did not send her a message.,anger
1100,They were repelled by the putrid bodies of a school of dead fish.,disgust
1101,Getting on stage infront of a crowd makes my leg weak,fear
1102,I love playing with my dog!,happiness
1103,I'm enraged when I haven't influenced outcome as much as I could have.,anger
1104,I was surprised to see my sister at my apartment,surprise
1105,I'm so annoyed by the people talking in the cinema!,anger
1106,"Facing the towering roller coaster, Jake felt a mix of excitement and fear.",happiness
1107,She was judgemental of the selfish behavior displayed by her friend's group.,anger
1108,After John lost the football game he got really mad.,anger
1109,I feel sad when my car gets scratched.,sadness
1110,Hypocrisy and dishonesty leave a bitter taste in my mouth.,anger
1111,Just looking at him makes me throw up!,disgust
1112,I am the happiest person in the world!,happiness
1113,I feel like I�m on top of the world!,happiness
1114,I feel sad when I think of my hamster that passed away.,sadness
1115,My mother is proud of me because I cleaned my room.,happiness
1116,He is always incredibly anxious before important events.,fear
1117,"The constant, infrequent noise interrupting my sleep at night left me feeling utterly exhausted and frustrated.",anger
1118,I was disgusted by the slimy old food that my friend left in their fridge.,disgust
1119,Sam felt overwhelmed with all the attention on him.,sadness
1120,I am overwhelmed by the anxiety this work causes.,sadness
1121,I get scared when walking through alleys in the dark.,fear
1122,I am going to puke if I look at it again.,disgust
1123,I get mad when people yell at me for no reason.,anger
1124,It�s incredible that she managed to finish the project in just two days.,surprise
1125,My mother feels sad whenever she watches the notebook.,sadness
1126,Finding a handwritten note tucked into my book was a delightful surprise.,surprise
1127,"Sarah recoiled from the sticky, unclean surface of the public restroom doorknob.",disgust
1128,it makes me sad when I think about war-riden countries,sadness
1129,My teacher was confused when he saw two identical exams papers with my name on it.,surprise
1130,I remember being carefree as a kid.,happiness
1131,I smiled and laughed when I won a large amount of money in the casino.,happiness
1132,Mike failed the math test and felt very dissapointed.,sadness
1133,I feel depressed and tired every morning because of my mental health. ,sadness
1134,"When I jumped off the cliff, my girlfriend was shocked.",surprise
1135,"I studied so long for this exam, and I still failed.",sadness
1136, The constant noise from the construction site next door makes me feel increasingly angry.,anger
1137,A loud crash in the night sent shivers of fear down Emily's spine.,fear
1138,These thieves have committed several crimes that need to be brought to justice.,anger
1139,Last night I had a nightmare about zombies!,surprise
1140,I am bursting out of happiness right now!,happiness
1141,"The unexpected gift from a long-lost friend brought a pleasant surprise, rekindling old memories.",surprise
1142,Sharing a meal with loved ones always brings a smile to my face.,happiness
1143,I started crying when I lost my backpack.,sadness
1144,I was surprised when the power went out.,surprise
1145,Seeing my family after a long time brought me immense happiness.,happiness
1146,The jokes of my friends always crack me up.,happiness
1147,He stared in disbelief at the unexpected results of the test.,surprise
1148,I haven't anticipated this outcome.,surprise
1149,My kid threw a tantrum when he did not get candy for dinner.,anger
1150,I detest the sight of cockroaches crawling on the kitchen floor.,disgust
1151,Who added parsley to the food?!,anger
1152,I despise when the WIFI isn't working.,anger
1153,Sitting at the dentist makes me feel afraid.,fear
1154,The sound of people loudly slurping their drinks irritates her.,disgust
1155,I was so afraid when I saw the ghost appear that I ran away.,fear
1156,It's sad to see the East more advanced in tech than us.,sadness
1157,Charlie is enthusiastic to meet with her friends again.,happiness
1158,The creaking noises in the old house at night send chills down my spine.,fear
1159,Living on the other side of the globe from your hometown leads to loneliness in many students.,sadness
1160,Rosie feels content while she is drinking tea with a biscuit.,happiness
1161,I'm angry when I hit my head. ,anger
1162,This salad looks awful.,disgust
1163,I did not expect to pass the previous block. ,surprise
1164,The sight of a dirty bathroom filled me with disgust.,disgust
1165,It's such a shock to find out you're my new neighbour!,surprise
1166,Sarah felt disrespected when she was interrupted during the presentation.,anger
1167,That show was amazing !,happiness
1168,I�ve had such a wonderful and relaxing holiday.,happiness
1169,It's annoying when someone is so late.,anger
1170,I enjoy my free time.,happiness
1171,Mark clenched his fists when his computer crashed before a deadline.,anger
1172,I can't imagine climbing that high.,fear
1173,The sight of rotting food in the fridge made me gag with disgust.,disgust
1174,That's the last thing I expected.,surprise
1175,some people are afraid of heights,fear
1176,"Wow, I never thought you'd plan such a thoughtful surprise party!",surprise
1177,The repugnant behavior of some people is disgusting.,disgust
1178,I am crying because my cat died,sadness
1179,The smell of rotten fish from the kitchen made me gag.,disgust
1180,"After what he said, I felt very offended.",sadness
1181,My dog didn't greet me when I got home which offended me.,sadness
1182,I'm over the moon about passing my exams!,happiness
1183,I love light sea brize,happiness
1184,I can't stand it when someone talks over me in a conversation.,anger
1185,She was in terror after seeing that spider under the sink.,fear
1186,It makes me furious when my roomates forgets to flush.,disgust
1187,I cannot stand the noise of people eating with their mouth open.,anger
1188,"I was about to vomit from the moldy, decaying sandwich.",disgust
1189,Lisa's heart swelled with joy as her dog eagerly wagged its tail in reunion.,happiness
1190,I'm so grossed out by the way my brother eats chicken wings. ,disgust
1191,I sometimes get overwhelmed with the idea of being an adult.,sadness
1192,I hate when you do this!,anger
1193,Witnessing cruelty towards others fills me with rage.,anger
1194,Velvet was nervous for her first presentation.,fear
1195,Saying goodbye to a friend moving away filled me with sorrow.,sadness
1196,I feel a deep sense of loathing towards people who mistreat animals.,anger
1197,It was such a coincidence that we met in the store.,surprise
1198,I was pleasantly surprised by the kids at the carnival.,surprise
1199,"Watching the exploitation in the documentary, a profound disgust settled in, urging a call to action against such practices.",disgust
1200,"Workplace issues led to a heated argument, leaving everyone angry.",anger
1201,The end of the movie left me feeling heartbroken.,sadness
1202,"Every time I hear that song, it dredges up feelings of regret and melancholy from the past.",sadness
1203,I felt threatened when my stalker aggressively knocked on my door.,fear
1204,My sister announced her pregnancy!,surprise
1205,"The lost kitten mewed softly, creating a feeling of sadness in the neighborhood.",sadness
1206,I love coffee.,happiness
1207,The laughter of my friends fills me with joy.,happiness
1208,"He stormed out of the office, slamming the door behind him to make his fury known.",anger
1209,Sometimes it's hard to find hope in the midst of despair.,sadness
1210,I didn't expect the party.,surprise
1211,Her mother is grossed out by all the dog poo in the park.,disgust
1212,I was furious of my brother for locking me out of the house,anger
1213,Why is my teammate so bad at the game?!,anger
1214,I could puke if I see people with dirty fingernails. ,disgust
1215,"I get so frustrated when my flatmate does not clean his dishes, leaving a mess for days.",anger
1216,We are eagerly awaiting the big announcement from FromSoftware.,anger
1217,I am happy to help!,happiness
1218,Seeing my friends always brightens my day!,happiness
1219,I'm sad when there is no promotions on Spar cookies.,sadness
1220,I had a jolly time reading your book recommendation.,happiness
1221,I get angry when people abuse animals.,anger
1222,He couldn't hide his detest for the taste of licorice.,disgust
1223,He was ashamed after they found out he cheated on the test.,sadness
1224,She did not expect her test results,surprise
1225,Hearing false rumors being spread about her ignited a fiery rage within her.,anger
1226,I hate having cat allergies ,anger
1227,She lamented the missed opportunities.,sadness
1228,"When my grandfather died, I secretly mourned over his paintings.",sadness
1229,The sorrow in his eyes was unmistakable as he spoke of his childhood memories.,sadness
1230,This movie shook me to the core.,fear
1231,I am annoyed that my brother didn't wash his dishes.,anger
1232,This abandoned cemetery radiates a gloomy atmosphere.,fear
1233,I was flabbergasted by the aerobatic spectacle.,surprise
1234,"I get shivers when I see a spider in the bathroom, frozen in place until it's out of sight.",fear
1235,I'm full of anticipation for this upcoming movie trilogy!,happiness
1236,Accomplishing a goal I've been working towards makes my heart sing.,happiness
1237,When I hear thunder I feel scared.,fear
1238,My girlfriend always laughs at my jokes.,happiness
1239,Turning the corner and bumping into an old classmate in a foreign city was a surprise that left us both speechless.,surprise
1240,I hate it when people don't clean after their dogs.,anger
1241,My parents love when I get back home for holidays.,happiness
1242,"I won the race, I'm very happy about it.",happiness
1243,I cried reading a story about forbidden love.,sadness
1244,Finding a hair in my soup caused a wave of disgust to wash over me.,disgust
1245,Mark felt profound happiness celebrating his birthday with friends and family.,happiness
1246,"There is nothing we can do here, we have to give up.",sadness
1247,I never imagined to find my lost dog in the park.,surprise
1248,"Each sip of coffee fills my heart with joy, lifting my spirits and energizing my day.",happiness
1249,It felt so good snuggling up with a cozy blanket and a good book on a rainy day.,happiness
1250,I get frustrated when my friends cancel their plans with me in the last moment.,anger
1251,The smell of rotten meat makes me gag,disgust
1252,Drinking sparkling water is gross.,disgust
1253,I tend to isolate myself when I am not very confident about a particular task.,sadness
1254,"The load feels overwhelming, pushing me to my limits.",sadness
1255,Yesterday I saw a beautiful butterfly.,happiness
1256,I feel like puking everytime I eat peas.,disgust
1257,Hearing noises that are not familiar at night makes me fearfull,fear
1258,The teacher was very unpleased by the behaviour of my son.,sadness
1259,His project�s idea was truly astonishing.,surprise
1260,I feel sad when I have to miss practice when I am sick.,sadness
1261, Constant interruptions at work leave me feeling frustrated and unable to focus.,anger
1262,She felt offended by his rude comment.,anger
1263,The plot twist at the end of the movie caught me completely off guard.,surprise
1264,"The injustice of the situation made me seethe with anger, longing for fairness.",anger
1265,It�s frustrating that I can�t seem to understand this topic.,anger
1266,He slammed the door in a fit of rage over the unfair decision.,anger
1267,Emma got really sad after she found out her drawing got torn.,sadness
1268,The sunset made Sarah feel peaceful as she sat by the lake.,happiness
1269,"I felt intimidated by the elephant, being so up close to me.",fear
1270,I was anxious when I was walking alone through the forest.,fear
1271,I am sometimes insecure about my future due to the constant change in society.,fear
1272,The teacher is furious because the class won't stay quiet.,anger
1273,I get enraged when my flatmates can't keep down when I'm trying to sleep,anger
1274,My sister was really happy when she won her first chess competition.,happiness
1275,The horror movie contained an unexpected jumpscare.,fear
1276,The taste of that new recipe was so awful; it made me feel disgusted.,disgust
1277,The anticipation of bad news when the doctor calls is almost paralyzing.,fear
1278,"Walking alone on a foggy night, the eerie silence enveloped me in a blanket of fear, making every shadow suspicious.",fear
1279,Everyone seems happy today because it's sunny outside.,happiness
1280,"As the plane landed in their dream destination, they clasped hands, their eyes sparkling with anticipation.",surprise
1281,I am shocked that my mother would say that to me.,surprise
1282,He's scared of public speaking.,fear
1283,I hate loud obnoxious children in public transport.,anger
1284,I feel nauseous whenever I smell garbage left out in the sun.,disgust
1285,The child awoke in a state of great terror.,fear
1286,"Watching the sunset brings peace of mind, clearing and refreshing the brain, like a reset button for the soul.",happiness
1287,It's incredibly revolting when a rotten cheese oozes onto my arm when I clean it up,disgust
1288,I'm happy when the weather is sunny and I can ride my bike.,happiness
1289,Stubbing my toes against a cabinet makes me want to use foul or harmfull language.,anger
1290,I immediately went silent when I was proposed to in the middle of the street.,surprise
1291,I'm afraid to go to the dentist.,fear
1292,I'm thrilled about the new action movie coming out this summer. ,happiness
1293,I feel anxious when it's presentation day.,fear
1294,I'm amazed at how well the universe is constructed.,happiness
1295,They were threatened by the person robbing the bank.,fear
1296,The woman had tears of joy when her man asked her to marry him.,happiness
1297,I get disgusted when someone tried to get to much attention.,disgust
1298,I'm angry when I am losing the game.,anger
1299,I got a low grade on my exam. ,sadness
1300,Discovering the secret ingredient in the recipe left me astonished.,surprise
1301,The way he acted really made me question his personality.,sadness
1302,I get angry when my roommates don't wash their dishes.,anger
1303,Sarah could not find the words when she heard her father was in an accident.,sadness
1304,Timmy felt anxious as he waited for the exam results to be announced.,fear
1305,I enjoy sitting by the river and listening to the nature.,happiness
1306,"Hearing a sudden loud noise, the girl jumped, fear gripping her as she scanned the surroundings.",fear
1307,Facing my deepest fears takes courage I didn't know I had.,fear
1308,my friend broke his neck,sadness
1309,"He threw the book across the room, frustration boiling over into action.",anger
1310,I'm scared of wasps.,fear
1311,My sister felt guilty for eating my portion of the cake.,sadness
1312,"With friends who share our goals and mindset, every step forward is a joyful adventure towards our dreams.",happiness
1313,The ghost story she told at the campfire was spine-chilling.,fear
1314,I had never expected that my cat would ever come back home.,surprise
1315,Yesterday I have seen licking child's face while he was bursting out laughing.,happiness
1316,It disgusts me when someone smells bad.,disgust
1317,When someone is disrespectful to someone else it makes me angry.,anger
1318,My mother feel quilty that I had a car accident last week.,sadness
1319,My mom is frustrated that my brother didn't pass his exam.,anger
1320,They feel sad when this song plays.,sadness
1321,She was disappointed with the results.,sadness
1322,The crunch of stepping on a bug makes my body shake out of disgust.,disgust
1323,"Raindrops trickled down the windowpane, mirroring the sorrow in her heart.",sadness
1324,Tears streamed down my mother�s face as I left for further studies.,sadness
1325,He couldn't help but smile every time he thought of the upcoming vacation.,happiness
1326,I hate it when it's really bussy at the gym.,anger
1327,I was shocked to find out my husband had been cheating on me.,surprise
1328,being awoken to a shadowy figure at the edge of my bed,fear
1329,Sitting by the lake when it's quiet makes me feel calm and happy.,happiness
1330,I'm so proud of my brothers good grades.,happiness
1331,He has a gun!,fear
1332,Seeing a smeared out turd on the street is disgusting.,disgust
1333,Meeting old friends after years brought immense joy to my heart.,happiness
1334,It can be scary to go for a walk in the park during the night.,fear
1335,I get pissed when my flights are delayed.,anger
1336,I'm in great remorse after yelling at my parents.,sadness
1337,I really like the flavor of this dish !,happiness
1338,"Whoa, that was crazy!",surprise
1339,"I tried to suppress my anger, but it bubbled up inside me like a raging inferno.",anger
1340,I got excited when my dad told me that we are going to Disneyland tomorrow.,happiness
1341,"The broken toy made the child frown, feeling a little bit of sadness.",sadness
1342,My boyfriend broke up with me.,sadness
1343,"Coming across a cruel comment online, I felt a wave of disgust for the anonymity that emboldens such harshness.",disgust
1344,The sight of cockroaches scurrying across the floor fills me with disgust.,disgust
1345,"Alex's heart raced when he got lost in the unfamiliar, dark forest.",fear
1346,I was blown away by her tallant.,surprise
1347,A weak mindset leads to weak men.,fear
1348,Darkness is my biggest fear.,fear
1349,"I so sad, I just finished my ciggarretes.",sadness
1350,Tom's smile grew as he opened the gift his wife had given him.,happiness
1351,I was shocked when I find out that my health condition isn't good.,surprise
1352,The overflowing trash can filled her with an immediate sense of repulsion.,disgust
1353,"The surprise party left him speechless, surrounded by friends and overwhelmed with joy.",surprise
1354,He gets enjoyment out of programming.,happiness
1355,She made me uncomfortable by talking about my dead dogs.,sadness
1356,"The persistent noise from the construction site next door kindled a simmering anger, disrupting my peace.",anger
1357,Seeing mold on bread immediately turns my stomach.,disgust
1358,Her heart skipped a beat as she walked into the dark and damp warehouse.,fear
1359,Seeing someone steal usually makes me aggresive and hateful,anger
1360,Eyes widened in astonishment as the curtain rose to reveal the breathtaking stage production.,surprise
1361,the birds chrip happly while flying from branch to branch.,happiness
1362,Watching a horror movie late at night left her afraid to turn off the lights. ,fear
1363,I was surprised with how quick we got there.,surprise
1364,He's feeling sad because his pet died,sadness
1365,Tonight were are going to celebrate my brothers birthday.,happiness
1366,Listening to music makes me feel great.,happiness
1367,"Sometimes the fear of failure can hold me back, but I push through it.",fear
1368,He felt betrayed when his secrets were shared without consent.,sadness
1369,The taste of spoiled milk made him recoil in disgust. ,disgust
1370,I'm mad at myself for forgetting the important meeting.,anger
1371,I was startled by my cat making noise in the middle of the night.,fear
1372,This movie usually makes me smile.,happiness
1373,Emily's eyes widened in delightful surprise at the stunning jewelry in the plain-looking package.,surprise
1374,I got furious when I had an argument with my sibling. ,anger
1375,Living far from my parents makes me feel lonely.,sadness
1376,I feel so bad when I see her.,sadness
1377,"After eating it for months, Johny felt grossed out by the idea of spinach soup.",disgust
1378,The wilted flowers in the vase mirrored the sorrow I felt within.,sadness
1379,Emma panicked when she realized she had lost her phone in the crowded mall.,fear
1380,I'm anxious when thinking about losing my close ones.,sadness
1381,"After losing his phone, he was in panic.",fear
1382,"The sight of the litter-strewn beach filled me with a sense of disgust, tarnishing the natural beauty.",disgust
1383,I live in fear.,fear
1384,Feeling alone in a crowd can be overwhelming.,sadness
1385,Sounds like the neighbor is really pissed off.,anger
1386,Thank you so much for your help.,happiness
1387,"Coming home to your wife and 1 loving daughter does fulfill most people, however this isn't the case for me..",sadness
1388,"With a startled exclamation, he dropped the letter, unable to comprehend its shocking contents.",surprise
1389,The unexpected thunderstorm caught me off guard and left me feeling scared.,fear
1390,The sight of the moldy bathroom disgusted me.,disgust
1391,I�ve been having a really hard time lately.,sadness
1392,How did you manage to get here?,surprise
1393,The smell coming from the musty clothes made my eyes water.,disgust
1394,I love the sound of thunder,happiness
1395,Being alone in the dark forest made my heart race with fear.,fear
1396,She's terrified of heights.,fear
1397,"I have no friends, this makes me feel lonely. ",sadness
1398,Stumbling upon an old friend in a foreign country was such a surprise.,surprise
1399,I get nervous arround my crush.,fear
1400,I'm so mad I lost my keys.,anger
1401,"Watching the leaves fall silently from the tree, I felt a profound sense of sadness, as if saying goodbye to an old friend.",sadness
1402,"If this baby cries the whole ride, I will lose my patience.",anger
1403,Losing my keys drives me crazy,anger
1404,I'm repulsed by the roaches in the basement.,disgust
1405,This was the best birthday I've had in ages!,happiness
1406,Mark's face twisted in disgust at the unidentifiable substance in his restaurant salad.,disgust
1407,Snow ocasionally falls in sahara desert,surprise
1408,The unpredictability of life never ceases to amaze me.,surprise
1409,I am glad that you passed your exam.,happiness
1410,I get excited when I see my dog.,happiness
1411,I�m feeling down.,sadness
1412,She was surprised when he came to visit her.,surprise
1413,Hearing the unexpected news about the job promotion shook me with excitement.,surprise
1414,I'm glad we managed to get tickets for my favorite band.,happiness
1415,The idea of eating raw oysters just fills me with repulsion.,disgust
1416,"Spending quality time with my cat, cuddling and playing together, brought a smile to my face.",happiness
1417,Every year i experience seasonal depression.,sadness
1418,I'm afraid of snakes when I walk in the jungle.,fear
1419,Some drivers on the road drive like they got their driver's license in kinder garden.,anger
1420,Winning the award was a moment of pure bliss.,happiness
1421,How are grapes allowed to exist?,surprise
1422,being encased in insects is a fearful experience,fear
1423,I hate it when someone interrupts me while I'm talking.,anger
1424,I'm happy when I'm with my friends.,happiness
1425,Missing someone I love makes me feel sad.,sadness
1426,The Doctor's results are worrying.,sadness
1427,Having no friends seems to be a lonely thing.,sadness
1428,Solving a problem after a long time is a great feeling.,happiness
1429,Hearing strange footsteps behind me on a deserted street made me panic.,fear
1430,Stepping in mud makes me feel gross.,disgust
1431,I feel guilty about the ice cream I stole as a kid. ,sadness
1432,Her ability to recall obscure facts never ceases to amaze her friends.,surprise
1433,"Your cat is so cute, I love him.",happiness
1434,She remained skeptical about the new product.,anger
1435,I love egg fried rice.,happiness
